text,label
Verify your account: http://bank-scam.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Reminder: Pay your electricity bill by 5/07/2025.,0
Reminder: Pay your electricity bill by 28/07/2025.,0
Driver raj is arriving in 5 mins. Ride: WagonR.,0
Loan pre-approved! Apply now: http://loantrap.org,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your ticket #5117 to Chennai has been confirmed.,0
Claim your ₹14227 reward here: http://fake-rewards.com,1
Recharge of ₹4676 completed. Thank you for using PayTM.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Loan pre-approved! Apply now: http://loantrap.org,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Recharge of ₹4789 completed. Thank you for using PayTM.,0
Your order #4784 has been shipped via Bluedart.,0
₹10340 received via UPI from arjun@ybl,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Recharge ₹17717 to activate UPI offer: http://fake-upi.io,1
Reminder: Pay your electricity bill by 3/09/2025.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Reminder: Pay your electricity bill by 4/07/2025.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your ticket #3979 to Chennai has been confirmed.,0
Claim your ₹8742 reward here: http://fake-rewards.com,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Loan pre-approved! Apply now: http://loantrap.org,1
Your order #6832 has been shipped via Bluedart.,0
Your order #8454 has been shipped via Bluedart.,0
Your OTP is 672892. Do not share it with anyone.,0
Reminder: Pay your electricity bill by 4/07/2025.,0
Reminder: Pay your electricity bill by 19/06/2025.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
₹3149 received via UPI from kavi@ybl,0
Your ticket #9179 to Chennai has been confirmed.,0
Your ticket #5022 to Chennai has been confirmed.,0
Recharge ₹12316 to activate UPI offer: http://fake-upi.io,1
Your order #4809 has been shipped via Bluedart.,0
Reminder: Pay your electricity bill by 27/07/2025.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Your Jio plan is now active until 16/09/2025.,0
Verify your account: http://bank-scam.in,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Verify your account: http://bank-scam.in,1
Claim your ₹16577 reward here: http://fake-rewards.com,1
Your OTP is 819678. Do not share it with anyone.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Claim your ₹13281 reward here: http://fake-rewards.com,1
Reminder: Pay your electricity bill by 12/09/2025.,0
Verify your account: http://bank-scam.in,1
Your Jio plan is now active until 14/08/2025.,0
Transaction of ₹18790 to Amazon was successful.,0
Driver priya is arriving in 5 mins. Ride: WagonR.,0
Reminder: Pay your electricity bill by 3/09/2025.,0
Your order #5914 has been shipped via Bluedart.,0
Recharge ₹7122 to activate UPI offer: http://fake-upi.io,1
Your OTP is 998746. Do not share it with anyone.,0
Transaction of ₹13404 to Amazon was successful.,0
Recharge ₹15060 to activate UPI offer: http://fake-upi.io,1
Claim your ₹15717 reward here: http://fake-rewards.com,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your order #2343 has been shipped via Bluedart.,0
₹1538 received via UPI from kavi@ybl,0
Account balance: ₹7939. No recent transactions.,0
Reminder: Pay your electricity bill by 28/09/2025.,0
Driver meena is arriving in 5 mins. Ride: Swift.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Your Jio plan is now active until 21/06/2025.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Recharge of ₹3588 completed. Thank you for using PayTM.,0
Recharge of ₹6671 completed. Thank you for using PayTM.,0
Account balance: ₹981. No recent transactions.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Driver raj is arriving in 5 mins. Ride: i20.,0
Recharge ₹4137 to activate UPI offer: http://fake-upi.io,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Driver meena is arriving in 5 mins. Ride: WagonR.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Your Jio plan is now active until 22/07/2025.,0
Driver kavi is arriving in 5 mins. Ride: i20.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Verify your account: http://bank-scam.in,1
Verify your account: http://bank-scam.in,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Reminder: Pay your electricity bill by 24/06/2025.,0
Reminder: Pay your electricity bill by 11/07/2025.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Recharge ₹1680 to activate UPI offer: http://fake-upi.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Verify your account: http://bank-scam.in,1
Your OTP is 218152. Do not share it with anyone.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Verify your account: http://bank-scam.in,1
Your OTP is 101049. Do not share it with anyone.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Recharge ₹10805 to activate UPI offer: http://fake-upi.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Reminder: Pay your electricity bill by 23/06/2025.,0
Verify your account: http://bank-scam.in,1
Verify your account: http://bank-scam.in,1
Your ticket #6878 to Chennai has been confirmed.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Your ticket #8794 to Chennai has been confirmed.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Account balance: ₹12794. No recent transactions.,0
Verify your account: http://bank-scam.in,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your order #1310 has been shipped via Bluedart.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Claim your ₹1439 reward here: http://fake-rewards.com,1
Reminder: Pay your electricity bill by 28/07/2025.,0
Transaction of ₹8995 to Amazon was successful.,0
Recharge ₹17264 to activate UPI offer: http://fake-upi.io,1
Reminder: Pay your electricity bill by 15/06/2025.,0
Verify your account: http://bank-scam.in,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Reminder: Pay your electricity bill by 12/06/2025.,0
Verify your account: http://bank-scam.in,1
Your order #6107 has been shipped via Bluedart.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Account balance: ₹15717. No recent transactions.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Driver raj is arriving in 5 mins. Ride: WagonR.,0
Recharge of ₹17012 completed. Thank you for using PayTM.,0
Recharge of ₹13962 completed. Thank you for using PayTM.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Driver priya is arriving in 5 mins. Ride: Swift.,0
Driver arjun is arriving in 5 mins. Ride: i20.,0
Driver arjun is arriving in 5 mins. Ride: i20.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your OTP is 847986. Do not share it with anyone.,0
Transaction of ₹2877 to Amazon was successful.,0
Reminder: Pay your electricity bill by 11/08/2025.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your ticket #9850 to Chennai has been confirmed.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your OTP is 143941. Do not share it with anyone.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Your order #9464 has been shipped via Bluedart.,0
Your order #7649 has been shipped via Bluedart.,0
Your ticket #2431 to Chennai has been confirmed.,0
Account balance: ₹17771. No recent transactions.,0
₹273 received via UPI from meena@ybl,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Verify your account: http://bank-scam.in,1
₹18687 received via UPI from priya@ybl,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Transaction of ₹518 to Amazon was successful.,0
Your order #8113 has been shipped via Bluedart.,0
Your Jio plan is now active until 12/07/2025.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
₹6409 received via UPI from kavi@ybl,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Your ticket #1803 to Chennai has been confirmed.,0
Recharge of ₹3256 completed. Thank you for using PayTM.,0
Reminder: Pay your electricity bill by 18/09/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Recharge ₹6619 to activate UPI offer: http://fake-upi.io,1
Claim your ₹10109 reward here: http://fake-rewards.com,1
₹9229 received via UPI from arjun@ybl,0
₹14533 received via UPI from raj@ybl,0
Recharge ₹19449 to activate UPI offer: http://fake-upi.io,1
Your OTP is 596864. Do not share it with anyone.,0
Claim your ₹10933 reward here: http://fake-rewards.com,1
Verify your account: http://bank-scam.in,1
Your Jio plan is now active until 5/09/2025.,0
Reminder: Pay your electricity bill by 21/07/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Driver kavi is arriving in 5 mins. Ride: WagonR.,0
Reminder: Pay your electricity bill by 22/07/2025.,0
Your order #8581 has been shipped via Bluedart.,0
Recharge of ₹3393 completed. Thank you for using PayTM.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Recharge of ₹19691 completed. Thank you for using PayTM.,0
Verify your account: http://bank-scam.in,1
Your ticket #6139 to Chennai has been confirmed.,0
Your order #2606 has been shipped via Bluedart.,0
Verify your account: http://bank-scam.in,1
Your OTP is 826596. Do not share it with anyone.,0
Transaction of ₹18127 to Amazon was successful.,0
Transaction of ₹19140 to Amazon was successful.,0
Your Jio plan is now active until 17/06/2025.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Transaction of ₹11281 to Amazon was successful.,0
Your order #1804 has been shipped via Bluedart.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your Jio plan is now active until 22/07/2025.,0
Claim your ₹18717 reward here: http://fake-rewards.com,1
Your ticket #5632 to Chennai has been confirmed.,0
Your OTP is 491029. Do not share it with anyone.,0
Verify your account: http://bank-scam.in,1
Your OTP is 329642. Do not share it with anyone.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Transaction of ₹11847 to Amazon was successful.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
₹3254 received via UPI from raj@ybl,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your ticket #8488 to Chennai has been confirmed.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Recharge ₹10537 to activate UPI offer: http://fake-upi.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Transaction of ₹5712 to Amazon was successful.,0
₹15378 received via UPI from arjun@ybl,0
Your Jio plan is now active until 13/09/2025.,0
₹15152 received via UPI from raj@ybl,0
Driver meena is arriving in 5 mins. Ride: WagonR.,0
₹12033 received via UPI from kavi@ybl,0
Recharge ₹15558 to activate UPI offer: http://fake-upi.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Reminder: Pay your electricity bill by 19/09/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Recharge ₹15775 to activate UPI offer: http://fake-upi.io,1
Your Jio plan is now active until 15/09/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Loan pre-approved! Apply now: http://loantrap.org,1
Claim your ₹4018 reward here: http://fake-rewards.com,1
Claim your ₹16211 reward here: http://fake-rewards.com,1
Loan pre-approved! Apply now: http://loantrap.org,1
Loan pre-approved! Apply now: http://loantrap.org,1
Driver arjun is arriving in 5 mins. Ride: i20.,0
Transaction of ₹772 to Amazon was successful.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Reminder: Pay your electricity bill by 7/08/2025.,0
Driver priya is arriving in 5 mins. Ride: Swift.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Transaction of ₹17500 to Amazon was successful.,0
Reminder: Pay your electricity bill by 11/06/2025.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Loan pre-approved! Apply now: http://loantrap.org,1
Reminder: Pay your electricity bill by 28/09/2025.,0
₹6993 received via UPI from arjun@ybl,0
Transaction of ₹4375 to Amazon was successful.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
₹16837 received via UPI from kavi@ybl,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Claim your ₹16175 reward here: http://fake-rewards.com,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Claim your ₹3385 reward here: http://fake-rewards.com,1
Your Jio plan is now active until 21/07/2025.,0
Your Jio plan is now active until 13/06/2025.,0
Reminder: Pay your electricity bill by 27/07/2025.,0
Your Jio plan is now active until 16/09/2025.,0
Transaction of ₹9549 to Amazon was successful.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Loan pre-approved! Apply now: http://loantrap.org,1
Transaction of ₹7619 to Amazon was successful.,0
Your order #8905 has been shipped via Bluedart.,0
Your OTP is 391773. Do not share it with anyone.,0
Account balance: ₹19905. No recent transactions.,0
Claim your ₹8796 reward here: http://fake-rewards.com,1
Your Jio plan is now active until 26/08/2025.,0
Recharge of ₹13230 completed. Thank you for using PayTM.,0
Driver arjun is arriving in 5 mins. Ride: WagonR.,0
Your Jio plan is now active until 1/07/2025.,0
Recharge of ₹14818 completed. Thank you for using PayTM.,0
Account balance: ₹9422. No recent transactions.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Account balance: ₹12332. No recent transactions.,0
Recharge ₹9525 to activate UPI offer: http://fake-upi.io,1
₹7182 received via UPI from meena@ybl,0
Your OTP is 599292. Do not share it with anyone.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Your order #5593 has been shipped via Bluedart.,0
Verify your account: http://bank-scam.in,1
Transaction of ₹12613 to Amazon was successful.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Driver kavi is arriving in 5 mins. Ride: WagonR.,0
Recharge of ₹12990 completed. Thank you for using PayTM.,0
Reminder: Pay your electricity bill by 10/06/2025.,0
Account balance: ₹4510. No recent transactions.,0
Your order #2675 has been shipped via Bluedart.,0
Verify your account: http://bank-scam.in,1
Account balance: ₹16587. No recent transactions.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your ticket #2006 to Chennai has been confirmed.,0
Your ticket #6246 to Chennai has been confirmed.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Verify your account: http://bank-scam.in,1
Your Jio plan is now active until 16/06/2025.,0
Verify your account: http://bank-scam.in,1
Your order #5375 has been shipped via Bluedart.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Driver kavi is arriving in 5 mins. Ride: WagonR.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Account balance: ₹620. No recent transactions.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Your Jio plan is now active until 23/07/2025.,0
Your Jio plan is now active until 2/09/2025.,0
Recharge of ₹3465 completed. Thank you for using PayTM.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Verify your account: http://bank-scam.in,1
Driver kavi is arriving in 5 mins. Ride: i20.,0
Recharge ₹1109 to activate UPI offer: http://fake-upi.io,1
Reminder: Pay your electricity bill by 11/06/2025.,0
Your order #3187 has been shipped via Bluedart.,0
Verify your account: http://bank-scam.in,1
Your OTP is 778540. Do not share it with anyone.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Account balance: ₹13564. No recent transactions.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Loan pre-approved! Apply now: http://loantrap.org,1
Your ticket #4245 to Chennai has been confirmed.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Loan pre-approved! Apply now: http://loantrap.org,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Verify your account: http://bank-scam.in,1
Your OTP is 261719. Do not share it with anyone.,0
Recharge ₹9695 to activate UPI offer: http://fake-upi.io,1
Your Jio plan is now active until 20/06/2025.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Verify your account: http://bank-scam.in,1
Your OTP is 886224. Do not share it with anyone.,0
Reminder: Pay your electricity bill by 18/07/2025.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Your order #2380 has been shipped via Bluedart.,0
Reminder: Pay your electricity bill by 26/07/2025.,0
Your OTP is 563324. Do not share it with anyone.,0
Account balance: ₹6625. No recent transactions.,0
Transaction of ₹6582 to Amazon was successful.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your Jio plan is now active until 14/08/2025.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
₹18963 received via UPI from kavi@ybl,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Account balance: ₹14863. No recent transactions.,0
Driver kavi is arriving in 5 mins. Ride: Innova.,0
Recharge of ₹12633 completed. Thank you for using PayTM.,0
Claim your ₹10040 reward here: http://fake-rewards.com,1
Loan pre-approved! Apply now: http://loantrap.org,1
Driver meena is arriving in 5 mins. Ride: Swift.,0
Your OTP is 791309. Do not share it with anyone.,0
Your OTP is 262656. Do not share it with anyone.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Recharge of ₹16925 completed. Thank you for using PayTM.,0
Driver priya is arriving in 5 mins. Ride: WagonR.,0
Reminder: Pay your electricity bill by 16/06/2025.,0
₹6823 received via UPI from kavi@ybl,0
Your OTP is 859143. Do not share it with anyone.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Your Jio plan is now active until 7/06/2025.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Driver priya is arriving in 5 mins. Ride: WagonR.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Recharge of ₹9646 completed. Thank you for using PayTM.,0
Your OTP is 822622. Do not share it with anyone.,0
Transaction of ₹6830 to Amazon was successful.,0
Account balance: ₹15558. No recent transactions.,0
Your ticket #8373 to Chennai has been confirmed.,0
Your order #2584 has been shipped via Bluedart.,0
Your order #5581 has been shipped via Bluedart.,0
Your order #3881 has been shipped via Bluedart.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Claim your ₹12643 reward here: http://fake-rewards.com,1
Recharge ₹15325 to activate UPI offer: http://fake-upi.io,1
Your OTP is 400814. Do not share it with anyone.,0
Your Jio plan is now active until 24/06/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Verify your account: http://bank-scam.in,1
Loan pre-approved! Apply now: http://loantrap.org,1
Account balance: ₹1489. No recent transactions.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Your Jio plan is now active until 10/08/2025.,0
Your OTP is 389809. Do not share it with anyone.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your order #6218 has been shipped via Bluedart.,0
₹4051 received via UPI from kavi@ybl,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Your ticket #3302 to Chennai has been confirmed.,0
Loan pre-approved! Apply now: http://loantrap.org,1
₹9907 received via UPI from kavi@ybl,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your Jio plan is now active until 20/07/2025.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Driver kavi is arriving in 5 mins. Ride: Innova.,0
₹16235 received via UPI from raj@ybl,0
Transaction of ₹1998 to Amazon was successful.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Reminder: Pay your electricity bill by 3/07/2025.,0
Transaction of ₹17264 to Amazon was successful.,0
Your order #3148 has been shipped via Bluedart.,0
Your ticket #9629 to Chennai has been confirmed.,0
Verify your account: http://bank-scam.in,1
Your ticket #6379 to Chennai has been confirmed.,0
₹8674 received via UPI from priya@ybl,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Driver arjun is arriving in 5 mins. Ride: i20.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Claim your ₹9578 reward here: http://fake-rewards.com,1
Your OTP is 561101. Do not share it with anyone.,0
